#,שם העסק,תחום,אחוז/גובה ההטבה,ערים לפי הקובץ,פרסומת קצרה ומקצועית,אתר רשמי,כתובת + טלפון שאומתו,סטטוס אימות
1,בורסלינו - כובעים,כובעים,5% הנחה לארגונים; בתשלום בכסף טעון בלבד,"בני ברק, ירושלים","מבחר כובעים בסגנונות קלאסיים ומעודכנים, עם דגש על התאמה נכונה למראה ולשימוש. ההטבה הופכת את הקנייה לכדאית במיוחד.",https://borsalino.co.il/,"שדרות האמוראים 68, בית שמש — 02-5681128 (סניף רשת; לא זהה בהכרח לרשומת בני ברק/ירושלים בקובץ)",מאומת/נמצא
2,ויסטה - בני ברק,אופטיקה,מותגים ב-320 ₪ בתנאים המפורטים; משקפי מותגים 10%; עדשות 10%,בני ברק,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
3,מעיין 2000,מזון,4% בכל קנייה; בכרטיס במערכת מולטיפס,"באר שבע, בני ברק","מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"הרב שמעון חכם 12, ירושלים (סניף שאותר) — טלפון לא הוצג במקור המאומת",מאומת/נמצא
4,פניצה,כובעים,100 ₪ הנחה או תיק בד בשווי 120 ₪ ברכישת כובע,"בני ברק, ירושלים","מבחר כובעים בסגנונות קלאסיים ומעודכנים, עם דגש על התאמה נכונה למראה ולשימוש. ההטבה הופכת את הקנייה לכדאית במיוחד.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
5,שפע ברכת השם,מזון,3% + צבירה כפולה של נקודות,"אופקים, אלעד","מבחר מוצרי מזון וקניות שוטפות במקום נוח, עם יתרון משמעותי ברכישה במסגרת ההטבה.",,"הרב כהנמן 107, בני ברק — 02-5616982",מאומת/נמצא
6,101 חליפות,ביגוד גברים,חולצות 101 ב-119 ₪ במקום 160; מכנסיים 25%; נעליים 15%-20%; חליפות 10%-25%,ירושלים,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
7,280 (יו אופטיק) - אלעד,אופטיקה,10% בכל קנייה,אלעד,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
8,אביבית ויצמן,ביגוד נשים,8% כולל כפל מבצעים,"בני ברק, ירושלים","מבחר פריטי אופנה לנשים, עם דגמים שמתאימים למלתחה היומיומית ולאירועים. מקום שכדאי לבדוק לפני רכישה.",,"מלכי ישראל 33, ירושלים — 02-5375993",מאומת/נמצא
9,אביבית ויצמן פאשן,ביגוד נשים,8% כולל כפל מבצעים,"אשדוד, בית שמש","מבחר פריטי אופנה לנשים, עם דגמים שמתאימים למלתחה היומיומית ולאירועים. מקום שכדאי לבדוק לפני רכישה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
10,אדור - אהרונוביץ,ביגוד גברים,הסכם כללי; פרטים בסניפים,בני ברק,"מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
11,אדור - בית אופנה לגברים,ביגוד גברים,10% על כל החנות; חולצות טיקט זהב ללא גיהוץ 95 ₪,"אשדוד, בני ברק","מבחר חליפות, חולצות, מכנסיים ואביזרים לגבר, במגוון סגנונות ומחירים. ההטבה מאפשרת לקבל יותר תמורה על הקנייה.",,"מלכי ישראל 8, ירושלים — 02-6642527",מאומת/נמצא
12,אוטו בני ברק,רכב,12% על רכישה/שירות כולל כפל מבצעים,בני ברק,"שירותי רכב ורכישה של מוצרים וחלפים, עם הטבה שיכולה להיות משמעותית גם בטיפולים וגם ברכישות.",,"שלמה המלך 7, בני ברק — 054-7272300",מאומת/נמצא
13,אופטיוויו,אופטיקה,15% הנחה,בני ברק,"מבחר מסגרות, משקפי ראייה/שמש ועדשות, עם אפשרויות שמתאימות למגוון צרכים וסגנונות. שווה לבדוק את ההיצע לפני הרכישה.",,לא נמצא עדיין מידע מאומת לכתובת/טלפון של הסניף המתאים לרשומה,נדרש אימות נוסף
